osm_id,code,fclass,name,x,y
15972546,2601,bank,Chase,-122.0207265,36.9793675
17413861,2901,toilet,Alliso Creek Rest Area (Southbound),-117.4441923,33.2720984
17441674,2901,toilet,,-117.4360131,33.2686059
20954425,2901,toilet,,-118.2945817,34.1181132
26427668,2402,motel,Sterns Motel,-118.434094,33.9966
26427824,2721,attraction,Santa Monica Pier,-118.4975247,34.0091043
26496361,2501,supermarket,Shopper's Corner,-122.0160744,36.9765357
26637661,2742,viewpoint,Tunnel View,-119.6768978,37.7158408
30236688,2030,recycling,Goodwill,-122.1095773,37.403704
33112985,2721,attraction,Captain Jack's Stronghold,-121.5017466,41.823453
33113436,2721,attraction,Fleener Chimneys,-121.5681677,41.7581789
34351134,2742,viewpoint,The Rock,-122.243404,37.8655397
34351412,2952,water_tower,University Reservoir,-122.2420619,37.869817
34496815,2903,drinking_water,,-122.245347,37.8649981
35706070,2952,water_tower,,-122.2423564,37.8624767
49045238,2701,tourist_info,,-116.4822728,32.9248988
49736461,2742,viewpoint,,-116.568725,33.0502268
54159406,2907,camera_surveillance,,-117.502897,33.764031
54208222,2741,picnic_site,Lake Fulmor Picnic Area,-116.7813666,33.8044942
54482677,2724,memorial,"In Memory Of Lt. Ronald E. Wiltse, USA - KIA Vietnam 13 May 1968",-117.5108763,34.107769
54484207,2724,memorial,"In Memory Of PFC Calvin Lewis, USA - KIA Vietnam 6 Jan 1969",-117.5115944,34.1080516
54496041,2724,memorial,"In Memory Of PFC. Domenic A. Corona, USMC - KIA Vietnam 29 Jul 1966",-117.5088631,34.1122848
54539596,2724,memorial,"In Memory Of PFC Joseph P. Marek, USA - KIA Vietnam 15 Nov 1967",-117.511843,34.1089666
54551377,2907,camera_surveillance,,-117.5666339,34.1092732
54582542,2724,memorial,"In Memory Of Cpl. Richard A. Burns, USA - KIA Vietnam 28 Feb 1969",-117.5087218,34.1130457
54653612,2501,supermarket,,-116.4848801,33.7954537
54699834,2422,camp_site,Santa Rosa Camp YellowStake16,-116.4446955,33.537052
54760283,2724,memorial,"In Memory Of PFC Kenneth J. Redondo, USA - Died While in Service to His Country",-117.4947929,34.1199944
54762984,2724,memorial,"In Memory Of SP/5 Richard Lane, USA - KIA Vietnam 16 Jun 1968",-117.5075865,34.110289
54765891,2724,memorial,"In Memory Of Sgt. Gary E. Hoadley, USA - KIA Vietnam 3 Aug 1968",-117.5124776,34.1093799
54867585,2724,memorial,"In Memory Of PFC Richard A. Noelke, USA - KIA Vietnam 6 Nov 1965",-117.4932913,34.1105239
54930333,2724,memorial,"In Memory Of Sgt. David J. Rideout, USA - KIA Vietnam 16 Jan 1969",-117.4946369,34.1204639
58573220,2901,toilet,,-122.2308765,37.8841445
58573232,2701,tourist_info,,-122.2315916,37.8816559
58573257,2701,tourist_info,,-122.2222075,37.881404
58573277,2901,toilet,,-122.2224646,37.8800522
58573290,2701,tourist_info,,-122.2222447,37.8801907
58573304,2422,camp_site,Gillespie Youth Camp,-122.2304357,37.8837322
58573316,2741,picnic_site,,-122.2306563,37.8840311
59725327,2701,tourist_info,,-122.236571,37.8905031
59817736,2701,tourist_info,Lava Beds Visitor Center,-121.5096834,41.7141967
59948744,2721,attraction,Hospital Rock,-121.4712816,41.834136
59948825,2721,attraction,Gillems Camp,-121.5560475,41.8247993
59948844,2721,attraction,Canby Cross,-121.5435426,41.8185387
59948852,2901,toilet,,-121.500424,41.8246638
59949890,2721,attraction,Thomas-Wright Battlefield,-121.5386245,41.770465
59949896,2721,attraction,Black Crater,-121.5525993,41.7651811
59949902,2901,toilet,,-121.567548,41.7571386
59949903,2741,picnic_site,,-121.5674434,41.7575006
59949904,2901,toilet,,-121.5497777,41.7280781
59949913,2742,viewpoint,Devils Homestead Overlook,-121.5621129,41.792973
59949979,2742,viewpoint,,-121.5462566,41.6918804
59949980,2721,attraction,Mammoth Crater,-121.5480316,41.6924275
59949987,2721,attraction,Hidden Valley,-121.543214,41.6917437
59950614,2721,attraction,Garden Bridges,-121.5140105,41.7087732
59951074,2901,toilet,,-121.510465,41.7310811
59951075,2901,toilet,,-121.5036706,41.7180575
59951076,2901,toilet,,-121.5054222,41.7175911
59951077,2422,camp_site,Indian Well Campground,-121.5041413,41.7175494
59951078,2901,toilet,,-121.5098339,41.7141992
59951079,2742,viewpoint,,-121.5248938,41.7205095
60794627,2302,fast_food,Jack in the Box,-118.1515821,34.0772159
61670779,2304,pub,Mad Dog in the Fog,-122.4310149,37.7721338
61671096,2304,pub,Toronado,-122.4311197,37.7719291
61671382,2304,pub,Molotov's,-122.4317339,37.772066
61672275,2304,pub,Noc Noc,-122.4315768,37.771878
61673273,2304,pub,Danny Coyles,-122.4332247,37.7718732
61674029,2304,pub,The Page,-122.4370345,37.7721204
61674450,2304,pub,Zeitgeist,-122.4222121,37.770011
61675193,2304,pub,Martuni's,-122.4227728,37.7721282
61676294,2305,bar,Hobson's Choice,-122.4487897,37.7696028
61676333,2304,pub,Martin Mack's,-122.4481545,37.7699692
61677300,2304,pub,Magnolia Pub & Brewery,-122.4452044,37.7703537
61677421,2304,pub,The Gold Cane,-122.4480858,37.7696571
61677472,2304,pub,Club Deluxe,-122.4474078,37.7697453
61678646,2304,pub,Trax,-122.4461289,37.7699421
61678786,2304,pub,Aub Zam Zam,-122.4492617,37.7695485
61679473,2304,pub,Kezar,-122.4530976,37.7675597
61680526,2004,post_box,,-122.4485345,37.7700458
61689054,2005,post_office,Fox Plaza,-122.4169146,37.7774401
61690511,2005,post_office,,-122.3993674,37.7949591
61690921,2305,bar,Comstock Saloon,-122.4055574,37.7969146
61692662,2304,pub,Mr. Bing's,-122.4058551,37.7971431
61692712,2304,pub,Irish Times,-122.4015184,37.7940429
61692857,2304,pub,Old Ship Saloon,-122.4007139,37.7977871
62295564,2204,park,Woodhill Park,-122.157952,38.0655
62295913,2204,park,Woodhill Park,-122.1551985,38.0647766
62296010,2204,park,Woodhill Park,-122.1542407,38.0643277
62390945,2204,park,Woodhill Park,-122.1584858,38.0598417
62391993,2204,park,Woodhill Park,-122.1425426,38.0521023
62400256,2204,park,Woodhill Park,-122.146717,38.0559262
62413262,2204,park,Woodhill Park,-122.1640114,38.0602895
62421531,2204,park,Woodhill Park,-122.1589311,38.062482
62455901,2204,park,Woodhill Park,-122.155714,38.064044
62458759,2204,park,Woodhill Park,-122.1547498,38.0636059
62460001,2204,park,Woodhill Park,-122.1610369,38.0593171
62494484,2204,park,Woodhill Park,-122.160003,38.061889
62508744,2204,park,Woodhill Park,-122.1459877,38.0547209
62511305,2204,park,Woodhill Park,-122.1598803,38.059424
62519228,2204,park,Woodhill Park,-122.1431448,38.0551392
62519239,2204,park,Woodhill Park,-122.1423581,38.0561766
62519762,2204,park,Woodhill Park,-122.1449734,38.0545033
62541338,2204,park,Woodhill Park,-122.161008,38.062239
65358958,2742,viewpoint,,-122.475449,37.8086852
72448982,2302,fast_food,Yoshinoya,-118.2160197,34.0762169
72448995,2302,fast_food,Jack in the Box,-118.2160126,34.0766932
77741928,2301,restaurant,Hometown Buffet,-118.3305106,34.190943
77741940,2523,stationery,Staples,-118.3335468,34.1900622
84927489,2901,toilet,,-122.2634233,37.9064828
84927494,2721,attraction,Little Farm,-122.2646256,37.9095586
84927605,2721,attraction,Rotary Peace Grove,-122.2603004,37.9192217
84933705,2253,swimming_pool,,-122.250791,37.8957188
86588346,2511,convenience,,-118.1828915,34.1153033
87344665,2701,tourist_info,Mini Stonehenge,-122.3214104,37.8731289
87421131,2204,park,Mendota Wildlife Management Area,-120.3410298,36.7327048
87421131,2701,tourist_info,Mendota Wildlife Management Area,-120.3410298,36.7327048
87803733,2742,viewpoint,Racetrack Overlook,-117.509378,36.611642
88339768,2732,ruins,Tramway,-117.8187554,36.5220029
88339775,2732,ruins,Tramway,-117.817535,36.518485
88789286,2422,camp_site,,-119.6853747,37.0209783
88789311,2422,camp_site,,-119.6850894,37.0208534
88790628,2422,camp_site,,-119.6828666,37.0227496
88801575,2422,camp_site,Dumma Strand Loop Camp Ground (73-84),-119.6813708,37.0241499
89772685,2721,attraction,National Steinbeck Center,-121.6555205,36.6771407
90026012,2422,camp_site,Highbridge Campground,-121.3068837,40.3401572
90055857,2951,comms_tower,,-121.2848133,38.781908
91030866,2701,tourist_info,River Street Sign,-122.0296459,36.9840483
91069827,2742,viewpoint,Buzzard Lagoon Overview,-121.8388202,37.0498382
92076995,2701,tourist_info,,-122.1948418,37.8425588
92261749,2304,pub,The Vault,-117.1816713,34.0544332
92276492,2304,pub,Royal Falconer,-117.182418,34.056794
92276809,2304,pub,Charlie Jewels [CLOSED],-117.182428,34.0565762
95570782,2005,post_office,,-118.7219772,34.2863802
97045590,2301,restaurant,Benjarong Thai Cuisine,-117.1959165,34.0590042
97051991,2001,police,,-117.1861625,34.0557093
98195675,2301,restaurant,Myung GA Tofu and Korean BBQ,-117.261752,34.0695442
98197574,2301,restaurant,Party House Restaurant,-117.279203,34.0867574
98199129,2301,restaurant,Pho Ha Vietnamese Restaurant,-117.2769027,34.0917402
98454401,2422,camp_site,New Woodland Group Camp,-122.2616077,37.9100635
98454403,2422,camp_site,Wildcat View Group Camp,-122.2604747,37.9102446
98640668,2301,restaurant,ḾU,-117.186232,34.0563345
98641153,2301,restaurant,Le Basil,-117.2083131,34.0487299
100565628,2901,toilet,,-122.2549713,37.8989957
105912772,2304,pub,Taylor's Cocktail Lounge,-117.2195491,34.0477995
105913520,2304,pub,Boiler Room,-117.1819972,34.0587264
116214173,2901,toilet,,-121.5553294,41.8242325
122418936,2001,police,,-118.3666906,34.0907667
122612654,2907,camera_surveillance,,-117.7103514,33.6128693
122691071,2007,library,North Branch Long Beach Public Library,-118.1841073,33.8665744
122715440,2907,camera_surveillance,,-117.700403,33.572612
122771956,2904,fountain,,-118.3728446,33.9278419
122789752,2907,camera_surveillance,,-117.7158123,33.5958636
123008452,2907,camera_surveillance,,-117.706757,33.5835849
123010901,2907,camera_surveillance,,-117.713015,33.5914909
123246060,2902,bench,,-118.5198209,34.3754457
123436240,2007,library,North Branch Long Beach Public Library,-118.1830616,33.8665687
123469768,2742,viewpoint,,-118.6124614,34.0410165
126854379,2304,pub,The Tradewinds,-122.7055813,38.3260315
126854387,2304,pub,Spancky's,-122.7060215,38.3259769
130022856,2952,water_tower,,-117.0811719,34.0433418
130023073,2952,water_tower,,-117.0969998,34.0447578
130107262,2007,library,,-117.1010853,34.0393888
130937474,2204,park,Community Park,-117.1758985,34.0737611
131182701,2201,theatre,Outdoor Theatre,-117.1723744,34.0379268
135925707,2301,restaurant,Applebee's,-122.6696742,38.2759801
135925716,2203,cinema,,-122.6659674,38.271981
138183666,2721,attraction,Old Faithful Geyser,-122.6025021,38.5959121
140982962,2737,fort,Fort Winfield Scott,-122.4735831,37.8015957
141029478,2901,toilet,Coram,-122.4420014,40.7093687
148855851,2301,restaurant,Lyon's,-122.4079161,37.6501154
150112038,2602,atm,,-122.0367821,37.3719564
150932671,2732,ruins,Fremont,-117.5770381,35.1908486
150934166,2201,theatre,Ramona Bowl,-116.9503013,33.7197436
150937841,2723,monument,Glenwood (historic),-121.9866264,37.1082805
150941004,2005,post_office,Piedra Post Office,-119.3649381,36.82286
150944832,2301,restaurant,Nick's Cove,-122.9206461,38.1993881
150949361,2082,school,Camp Irwin Owen,-118.4309185,35.7685618
150954543,2724,memorial,Laurel,-121.9663477,37.1166136
150958668,2406,chalet,Kennedy Meadows,-119.7459916,38.3113321
150962918,2422,camp_site,Bear Valley,-120.0399088,38.4646337
150964201,2721,attraction,Easter Cross,-117.2446749,32.8398116
150968983,2732,ruins,Drawbridge,-121.97496,37.4663279
150973839,2424,caravan_site,Campland on the Bay RV resort and campground,-117.2242026,32.7958821
150980928,2422,camp_site,Heart Bar Campground,-116.78669,34.1586208
163025515,2701,tourist_info,Angel Island State Park Visitor Center,-122.4348152,37.8681383
165590550,2304,pub,Canyon Inn,-122.2595551,37.4724106
167164343,2422,camp_site,East Bay Sites,-122.4253106,37.8657834
167165270,2422,camp_site,Sunrise Sites,-122.4252862,37.8616171
167438487,2901,toilet,,-119.9154209,38.9241851
167438503,2304,pub,,-119.9159271,38.9242108
167438525,2901,toilet,,-119.9263689,38.9257528
167438547,2302,fast_food,Gunbarrel Grill,-119.9310316,38.9294894
167438559,2304,pub,Lakeview Lodge,-119.9310316,38.9296125
167438566,2901,toilet,,-119.9310317,38.9293575
171947285,2304,pub,Liverpool Lil's,-122.4471157,37.798177
177557225,2304,pub,Brennan's,-122.3005376,37.8670328
187657994,2004,post_box,,-122.0633395,37.3771696
191338642,2004,post_box,,-122.0458634,37.3699269
194986631,2101,pharmacy,CVS Drugstore,-121.7781982,37.6801778
196892338,2543,doityourself,OSH,-121.7788073,37.6798382
202282365,2004,post_box,,-122.038814,37.370491
206209276,2082,school,Aquinas High School,-117.2442122,34.1416837
206209278,2082,school,Del Vallejo Middle School,-117.2463374,34.1459815
207648430,2084,college,San Bernardino Valley College,-117.310714,34.0875543
212293278,2205,playground,,-122.1485286,37.7505737
212294398,2744,theme_park,,-122.1449218,37.7494794
212348914,2205,playground,,-122.2330634,37.8470522
212350290,2205,playground,,-122.2269997,37.843641
212387112,2030,recycling,,-122.2500452,37.8334802
212435197,2501,supermarket,Trader Joe's,-122.252655,37.8455505
212436963,2002,fire_station,,-122.2496672,37.845994
212439094,2601,bank,,-122.2525597,37.8495387
212439804,2601,bank,First Federal Savings & Loan,-122.2520193,37.8492123
212442652,2601,bank,Chase,-122.2517877,37.8345174
212456324,2565,car_sharing,,-122.2520021,37.8441291
212457856,2205,playground,,-122.2575569,37.8417153
212463310,2205,playground,FROG Park,-122.2609629,37.8381304
212465620,2101,pharmacy,Walgreens,-122.2628184,37.8369164
217195890,2110,hospital,Cottage Hospital,-119.7231247,34.4303615
224245857,2722,museum,Griffith Observatory,-118.3003349,34.1183869
225256068,2004,post_box,,-122.0791051,37.3868052
227828496,2701,tourist_info,,-122.1986412,37.8478896
227828510,2901,toilet,,-122.1985302,37.8480498
230746535,2110,hospital,St. Bernardine Medical Center,-117.2769501,34.1348121
240987418,2004,post_box,,-122.0412976,37.3572756
241000729,2004,post_box,,-122.0614168,37.3659311
243642877,2205,playground,,-118.3618618,34.0061514
243645429,2205,playground,,-118.3695608,34.0103634
243645435,2205,playground,,-118.3683677,34.0068202
243671668,2721,attraction,Vernal Fall,-119.5439274,37.7274372
243671720,2721,attraction,Nevada Fall,-119.5334151,37.7248388
243748145,2005,post_office,,-118.4385189,33.9784073
243748149,2901,toilet,,-118.4458145,33.9769269
243748894,2205,playground,,-118.4580321,33.979773
243751182,2901,toilet,,-118.4511056,33.9572007
243802101,2205,playground,,-118.4032819,34.0124232
243803564,2205,playground,,-118.3995655,33.9926992
243804463,2205,playground,,-118.3857982,33.9837606
243805625,2007,library,Westchester Public Library,-118.4171167,33.9594189
243955885,2007,library,,-118.4651982,33.9876918
243956119,2205,playground,,-118.4739873,33.985877
246294774,2002,fire_station,,-122.203409,37.8234909
246294797,2205,playground,,-122.2021645,37.8255315
246736068,2205,playground,,-122.2123783,37.8294636
246738079,2542,bicycle_shop,Wheels  of Justice Cyclery,-122.2095672,37.8269275
247141462,2721,attraction,Downtown Disney Monorail Station,-117.9245282,33.8094021
247149995,2004,post_box,,-122.2363733,37.8458018
247150058,2004,post_box,,-122.2436849,37.8504385
247361145,2004,post_box,,-122.2375266,37.8408151
247361159,2901,toilet,,-122.2330463,37.8473233
247361170,2901,toilet,,-122.2301108,37.8472745
247361231,2901,toilet,,-122.2273213,37.8440618
247365891,2601,bank,Wells Fargo,-122.252783,37.857262
247366103,2004,post_box,,-122.2516147,37.8447622
247506870,2602,atm,,-122.267786,37.8069224
247970016,2004,post_box,,-122.2519442,37.84705
248744930,2601,bank,Bank of America,-122.2537429,37.8256884
248744932,2082,school,Grand Lake Montessori,-122.2508497,37.8160255
248744933,2205,playground,,-122.2481296,37.8093139
250035525,2008,town_hall,Burlingame City Hall,-122.3504064,37.5796995
250780545,2901,toilet,,-117.1452453,33.0865117
250958874,2201,theatre,Amargosa Opera House,-116.4146753,36.3021556
251138997,2901,toilet,,-116.7041104,36.366304
252363929,2601,bank,Bank of America,-122.3517104,37.577202
254530237,2701,tourist_info,,-115.8097662,33.7365322
254532521,2901,toilet,,-116.406509,33.2581663
255481310,2004,post_box,,-122.260458,37.7931811
256184338,2901,toilet,,-118.7143667,34.0984445
256184342,2901,toilet,,-118.7134826,34.0991695
256184343,2901,toilet,,-118.7125127,34.0987572
256184344,2901,toilet,,-118.7166814,34.0964422
256884236,2305,bar,The Abbey,-118.3852227,34.0834064
257170546,2901,toilet,,-118.7038204,34.0339136
257174743,2005,post_office,,-118.378559,33.971504
257511182,2005,post_office,,-118.1433937,33.792052
257511653,2004,post_box,,-118.141883,33.792052
257873803,2901,toilet,,-117.1379424,33.0791271
258351549,2952,water_tower,,-122.3219881,37.5345708
258351550,2952,water_tower,,-122.3217177,37.5342322
258354445,2952,water_tower,,-122.3310788,37.5400876
258354446,2952,water_tower,,-122.3293676,37.5415572
258354447,2952,water_tower,,-122.3291396,37.5415402
258354448,2952,water_tower,,-122.3270355,37.5399887
258578225,2952,water_tower,,-122.3270533,37.515906
258582305,2952,water_tower,,-122.307316,37.5267923
258582306,2952,water_tower,,-122.3070256,37.5267731
258582307,2952,water_tower,,-122.3067673,37.5267667
258588768,2952,water_tower,,-122.3072645,37.5212882
258588770,2952,water_tower,,-122.3070969,37.5213347
258588771,2952,water_tower,,-122.3073968,37.5200404
258588772,2952,water_tower,,-122.3071556,37.5199921
258660872,2723,monument,Phillip Burton,-122.4295606,37.8051033
258766858,2901,toilet,,-122.2516288,37.8956295
258769183,2901,toilet,,-122.2683395,37.9125384
258842600,2952,water_tower,,-122.3233033,37.5307995
258958328,2952,water_tower,,-122.3243898,37.5105639
258958329,2952,water_tower,,-122.3241987,37.5103948
258958793,2205,playground,,-118.7709388,34.1848793
258958802,2205,playground,,-118.7710074,34.1845669
258958804,2901,toilet,,-118.770604,34.1852911
258959667,2205,playground,,-118.8810009,34.1925188
259228866,2952,water_tower,,-122.3098675,37.5018685
259228867,2952,water_tower,,-122.3095509,37.5014948
259571712,2952,water_tower,,-122.288613,37.4990205
259578908,2731,castle,Carolands,-122.3717045,37.5553129
259901778,2301,restaurant,Pho Dakao,-117.9457278,33.7373487
259902665,2501,supermarket,Albertson's,-117.9562908,33.7291978
259915965,2501,supermarket,Saigon City Supermarket,-117.9560107,33.7383255
259916222,2101,pharmacy,CVS Pharmacy,-117.9560278,33.7388108
260295491,2501,supermarket,Stater Brothers,-117.9542368,33.7506342
260315718,2952,water_tower,,-122.2795766,37.4932153
260542461,2081,university,Stanford University,-122.1699201,37.4282068
260630218,2952,water_tower,,-122.2904209,37.4898111
260639228,2952,water_tower,,-122.2762638,37.5100432
260639229,2952,water_tower,,-122.2763661,37.510135
260639230,2952,water_tower,,-122.2765263,37.5100785
260639231,2952,water_tower,,-122.2766153,37.5101879
260639232,2952,water_tower,,-122.2804115,37.5110055
260683477,2952,water_tower,,-122.2727089,37.5056793
260683478,2952,water_tower,,-122.2724837,37.5055453
262074715,2007,library,El Segundo Library,-118.4168296,33.9239584
262224916,2901,toilet,,-122.1760019,37.4521632
262255312,2030,recycling,,-122.2917708,37.5441978
262255335,2501,supermarket,Whole foods,-122.291719,37.543919
262732847,2952,water_tower,,-122.375897,37.552189
262732848,2952,water_tower,,-122.3757458,37.5520026
262732849,2952,water_tower,,-122.3755154,37.5518707
262908226,2601,bank,Citibank,-122.3467389,37.5769521
262935495,2001,police,Burlingame Police Department,-122.3820117,37.5951382
262936489,2501,supermarket,Lunardi's,-122.3849757,37.5945434
263050781,2030,recycling,Nexcycle,-122.3955115,37.6047009
263070068,2401,hotel,Extended Stay America,-122.2409077,37.4990743
263080003,2952,water_tower,,-122.4389753,37.6163031
263113183,2724,memorial,,-122.3703299,37.4960825
263217812,2002,fire_station,,-121.8124083,37.695679
263409845,2401,hotel,Travelodge,-122.4220186,37.772318
263573261,2952,water_tower,,-122.4498714,37.6190795
263573262,2952,water_tower,,-122.4496112,37.6190391
263575143,2952,water_tower,,-122.4613896,37.6242871
263575906,2952,water_tower,,-122.4575441,37.6089674
263576250,2952,water_tower,,-122.4675621,37.6259472
263576251,2952,water_tower,,-122.467381,37.6260828
263920191,2952,water_tower,,-122.475927,37.63343
263956688,2952,water_tower,,-122.3801494,37.5580546
263956695,2952,water_tower,,-122.3800908,37.5577958
263987996,2401,hotel,,-122.3702582,37.6021795
264404666,2952,water_tower,,-122.3448166,37.539486
264404667,2952,water_tower,,-122.3444663,37.5394785
264806944,2952,water_tower,,-122.4074755,37.5837352
264806947,2952,water_tower,,-122.4072516,37.5836079
265506505,2304,pub,Pops,-122.4083276,37.7529558
265562462,2721,attraction,Alcatraz Island,-122.4230597,37.827056
265670285,2952,water_tower,,-122.4231351,37.6157566
265689505,2004,post_box,,-122.4087084,37.7494868
265689739,2955,lighthouse,Point Bonita Lighthouse,-122.5295141,37.8155625
265711287,2301,restaurant,Yamo Yamo,-122.3374627,37.5782082
265832619,2952,water_tower,,-122.3472552,37.5232012
265832620,2952,water_tower,,-122.3470236,37.5232052
265832621,2952,water_tower,,-122.3464395,37.522111
265832622,2952,water_tower,,-122.3462733,37.5221869
266051537,2952,water_tower,,-122.4309621,37.6204435
266587527,2302,fast_food,,-122.0244444,37.3619357
266587528,2302,fast_food,Spice Hut,-122.0260135,37.3611013
266587529,2301,restaurant,Annapoorna,-122.025157,37.3625767
266625620,2501,supermarket,DD's Discounts,-122.0262864,37.3612614
266625630,2303,cafe,Starbucks,-122.0364168,37.3676805
266625632,2301,restaurant,P.F.Changs China Bistro,-122.0365627,37.3686423
266630157,2302,fast_food,,-122.0047585,37.3518975
266630158,2501,supermarket,India Cash & Carry,-122.0053921,37.3519206
266630159,2301,restaurant,Lucky Dhaba Inc,-122.005221,37.35199
266630160,2302,fast_food,Bhavika's Chatpat,-122.0045772,37.352924
266630161,2501,supermarket,Kumud Groceries,-122.0041823,37.3529854
266630162,2301,restaurant,Dusita Thai Cuisine Sunnyvale,-122.0055817,37.3519437
266630163,2301,restaurant,Komala Vilas,-122.0057575,37.3519715
266630164,2511,convenience,,-122.0053897,37.3526713
266639513,2302,fast_food,Togo,-122.0266577,37.3637045
266641167,2952,water_tower,,-122.4455605,37.6855338
266651410,2401,hotel,Hyatt Vineyard Creek Hotel & Spa,-122.7189887,38.4357249
266651411,2302,fast_food,Rubios Fresh Mexican Grill,-122.7159599,38.4393971
266651412,2301,restaurant,Kabab and Curry House,-122.7154764,38.4399233
266651419,2301,restaurant,Pizz’a Chicago,-121.9999994,37.3538012
266658214,2952,water_tower,,-122.4019704,37.6772893
266658215,2952,water_tower,,-122.4006065,37.6769972
266671565,2301,restaurant,Ginger Cafe,-122.0374992,37.3684685
266671567,2301,restaurant,Chipotle,-122.0360819,37.3678036
266671569,2301,restaurant,Pasta Pomodoro,-122.035404,37.3683149
266671571,2601,bank,Provident Credit Union,-122.0375293,37.3686282
266718160,2952,water_tower,,-122.4231833,37.6950872
266718246,2952,water_tower,,-122.4275311,37.6965881
266799038,2101,pharmacy,CVS/pharmacy,-122.0269704,37.3617299
266799038,2514,chemist,CVS/pharmacy,-122.0269704,37.3617299
266889667,2952,water_tower,,-122.4132129,37.6716534
266899629,2401,hotel,Hotel Charlotte,-120.2302636,37.8390936
266899764,2304,pub,Iron Door Saloon,-120.2298046,37.8391141
266903722,2004,post_box,,-122.4103136,37.7631689
266903723,2004,post_box,,-122.4015392,37.7544904
266903734,2004,post_box,,-122.4040056,37.7607823
266903737,2004,post_box,,-122.4092314,37.7528919
266903738,2004,post_box,,-122.4095333,37.7560851
266903739,2303,cafe,Progressive Grounds Cafe,-122.409512,37.757467
266903740,2004,post_box,,-122.4098394,37.7591295
266903741,2004,post_box,,-122.410035,37.761872
266903742,2005,post_office,Potrero Center,-122.4104474,37.766226
266903743,2004,post_box,,-122.410717,37.7668252
266903759,2005,post_office,Encinal Station Sunnyvale Post Office,-122.0337873,37.3516414
266954353,2721,attraction,Roaring Camp Railroads,-122.0633215,37.0449125
266997292,2952,water_tower,,-122.4333942,37.6715493
266997293,2952,water_tower,,-122.4334693,37.6717064
266997369,2952,water_tower,,-122.4380316,37.6767782
267003010,2952,water_tower,,-122.4211717,37.665381
267003528,2952,water_tower,,-122.4127975,37.6614765
267003529,2952,water_tower,,-122.4129345,37.6616081
267071884,2110,hospital,Bel Air Memorial Hospital,-118.4643566,34.1156805
267125814,2952,water_tower,,-122.4192583,37.7179075
267125815,2952,water_tower,,-122.4189837,37.7182781
267187180,2952,water_tower,,-122.4301236,37.7039321
267292657,2002,fire_station,Millbrae Fire Station #38,-122.4154049,37.5932962
267292713,2952,water_tower,,-122.4125715,37.5903256
267392313,2741,picnic_site,,-120.6639219,37.8186338
267482501,2301,restaurant,Il Fornaio,-122.347185,37.5798967
267482798,2301,restaurant,Barracuda,-122.3490524,37.5783326
267618168,2511,convenience,,-122.3492848,37.5811296
267798771,2543,doityourself,Wisnom's,-122.32219,37.568629
267798802,2526,toy_shop,Talbot's Toyland,-122.3208463,37.5643485
267798803,2542,bicycle_shop,Talbot's,-122.3210485,37.5645062
267984815,2301,restaurant,Swati Tiffins,-121.9953212,37.3782704
267985657,2002,fire_station,Sunnyvale Fire Station 4,-122.0138437,37.3564857
267988188,2005,post_office,,-118.39673,34.0205208
267988248,2601,bank,,-118.3989444,34.0213176
267988765,2732,ruins,Hill 88,-122.5321327,37.8423087
268008187,2952,water_tower,,-122.3404997,37.512975
268008831,2010,prison,San Mateo County Youth Services Center,-122.3365944,37.5130908
268376953,2001,police,City Of San Gabriel Police Department,-118.0999008,34.0947553
269109467,2006,telephone,,-122.255838,37.9006973
269747233,2741,picnic_site,Bench,-121.846591,37.184623
269747376,2741,picnic_site,,-121.8552776,37.1924645
269747871,2741,picnic_site,,-121.8526111,37.1801167
269827161,2301,restaurant,Madura Indian restaurant,-122.0426055,37.3400615
269827165,2601,bank,Downey Savings,-122.041753,37.339116
270031380,2203,cinema,AMC Mercado,-121.9830069,37.3889574
270031383,2301,restaurant,Tomatina,-121.9837756,37.3885562
270031385,2302,fast_food,World Wraps,-121.9837063,37.3891928
270031387,2301,restaurant,Mexicali Grill,-121.9838892,37.3894651
270042537,2501,supermarket,Ranch 99 Market,-118.100828,34.0776395
270622781,2099,public_building,Ranger Station,-119.1558184,37.0663152
270623117,2004,post_box,,-122.2669031,37.8883846
270623118,2004,post_box,,-122.2724193,37.889918
270623121,2004,post_box,,-122.271706,37.881633
271109407,2004,post_box,,-122.2603031,37.8751285
271109408,2004,post_box,,-122.2643856,37.8775579
271153356,2007,library,,-122.4697428,38.5074031
271154107,2401,hotel,Meadowood Napa Valley,-122.4627047,38.5215063
271265675,2002,fire_station,,-122.3781493,37.5549205
271776177,2401,hotel,Best Western El Rancho Inn,-122.3978597,37.6071436
271776230,2301,restaurant,Terrace Cafe,-122.3975163,37.6077487
271855253,2004,post_box,,-122.2692203,37.8805682
272094727,2001,police,City of Davis Police Department,-121.7192391,38.5511654
272122818,2301,restaurant,Celia's,-122.3350416,37.5797811
272155848,2401,hotel,Marriott Napa Valley,-122.3117273,38.3228854
272196653,2002,fire_station,Fire Station No.2,-122.0780859,37.3739828
272277089,2903,drinking_water,,-121.7239388,38.5440326
272277093,2903,drinking_water,,-121.7317696,38.5362703
272277097,2903,drinking_water,,-121.701094,38.5435771
272616155,2601,bank,Bank of America,-122.3261843,37.5625551
272764075,2542,bicycle_shop,,-122.3603913,37.5860337
272778068,2561,hairdresser,,-122.3503492,37.5830409
272778079,2511,convenience,,-122.3502021,37.5831341
272778087,2568,laundry,,-122.3494564,37.5812112
